condition,setting,n,successes,accuracy,acc_lo,acc_hi,avg_len,len_se,avg_IG,ig_se
close,ALL_ON,20798,6890,0.33128185402442545,0.32491668444942756,0.3377093399694875,1.0,0.0,0.21265783335390734,0.0014366826504758638
close,A1_OFF,20798,6855,0.3295989999038369,0.32324238340602063,0.336018554337107,1.0,0.0,0.21265783335390734,0.0014366826504758638
close,A2_OFF,20798,6816,0.32772381959803826,0.3213768427804266,0.3341344269525378,1.0,0.0,0.1557929268357593,0.0012525232292804247
close,A3_OFF,20798,6891,0.33132993557072793,0.32496452297934747,0.3377576467731614,1.0,0.0,0.2163391902332446,0.0014738814962146525
close,A4_OFF,20798,7180,0.3452255024521589,0.33879298142975073,0.3517151897314027,1.0,0.0,0.21265783335390734,0.0014366826504758638
close,A5_OFF,20798,6890,0.33128185402442545,0.32491668444942756,0.3377093399694875,1.0,0.0,0.21265783335390734,0.0014366826504758638
close,A6_OFF,20798,6900,0.3317626694874507,0.3253950731361558,0.33819240461869843,1.0,0.0,0.21265783335390734,0.0014366826504758638
far,ALL_ON,17757,5802,0.3267443824970434,0.3198838319485544,0.3336798820592323,1.0,0.0,0.4528515113840817,0.0018956030638344781
far,A1_OFF,17757,5821,0.3278143830602016,0.32094780977823695,0.33475544248206146,1.0,0.0,0.4528515113840817,0.0018956030638344781
far,A2_OFF,17757,5769,0.324885960466295,0.3180359674586976,0.33181170642630575,1.0,0.0,0.35986174329644055,0.002008932701809704
far,A3_OFF,17757,5801,0.3266880666779298,0.3198278342443871,0.33362327248695167,1.0,0.0,0.5121628483590807,0.0019240219377047287
far,A4_OFF,17757,5828,0.32820859379399675,0.32133981187165145,0.33515169132378286,1.0,0.0,0.4528515113840817,0.0018956030638344781
far,A5_OFF,17757,5802,0.3267443824970434,0.3198838319485544,0.3336798820592323,1.0,0.0,0.4528515113840817,0.0018956030638344781
far,A6_OFF,17757,5865,0.3302922791011995,0.32341191447269385,0.3372460579513157,1.0,0.0,0.4528515113840817,0.0018956030638344781
split,ALL_ON,19391,1445,0.0745191068021247,0.07090643491662153,0.07830033148460548,1.0,0.0,0.37349265121156916,0.001941298099917386
split,A1_OFF,19391,1480,0.07632406786653602,0.07267021302560174,0.08014576047531098,1.0,0.0,0.37349265121156916,0.001941298099917386
split,A2_OFF,19391,1458,0.07518952091176319,0.07156147979876339,0.07898584923948974,1.0,0.0,0.270574725721968,0.0020528804703702766
split,A3_OFF,19391,1446,0.07457067711825073,0.07095681990129124,0.07835306670278391,1.0,0.0,0.5009133233579787,0.0021619658531720387
split,A4_OFF,19391,2099,0.10824609354855345,0.10395038266887777,0.11269699639504817,1.0,0.0,0.37349265121156916,0.001941298099917386
split,A5_OFF,19391,1445,0.0745191068021247,0.07090643491662153,0.07830033148460548,1.0,0.0,0.37349265121156916,0.001941298099917386
split,A6_OFF,19391,2964,0.15285441699757618,0.14785827581574704,0.15798807871184026,1.0,0.0,0.37349265121156916,0.001941298099917386
