seed,Accuracy,Length
1,0.9695923791115867,1.0370689952714596
2,0.9682462982777068,1.035481310185345
3,0.9681082387050012,1.0350671314672282
4,0.969868498256998,1.035308735719463
5,0.9676940599868843,1.0367065888931073
6,0.9698339833638215,1.0362233803886376
7,0.9695751216649985,1.0357056569909917
8,0.9687467642287647,1.0353259931660512
9,0.9700065578297035,1.036171608048873
10,0.9686604769958237,1.035809201670521
11,0.969109170607117,1.0350671314672282
12,0.9695233493252339,1.0362233803886376
13,0.969281745072999,1.0353259931660512
14,0.9688675663548821,1.0355158250785215
15,0.9693852897525282,1.036516756980637
16,0.9694370620922929,1.0365857867669899
17,0.9685569323162945,1.036758361232872
18,0.9684016152970006,1.0369827080385186
19,0.9697304386842923,1.0364477271942842
20,0.9684879025299417,1.036344182514755
21,0.9686259621026473,1.034549408069582
22,0.9668311876574742,1.0357746867773445
23,0.9705415386739378,1.0357919442239327
24,0.9686777344424119,1.0349118144479343
25,0.9695406067718221,1.0357401718841681
26,0.9697131812377041,1.0369827080385186
27,0.9702826769751147,1.036603044213578
28,0.9691782003934698,1.0366548165533427
29,0.968936596141235,1.0354640527387569
30,0.9684188727435888,1.0349808442342872
